#nb_line naive_duration(ms) lps_duration(ms) optimized_lps_duration(ms)
4920 4 4 4
4930 4 4 4
4940 4 4 4
4950 4 4 4
4960 4 4 4
4970 4 4 4
4980 4 4 4
4990 4 4 4
5000 4 4 4
5010 4 4 4
5020 4 4 4
5030 4 4 4
5040 4 4 4
5050 4 4 4
5060 4 4 4
5070 4 4 4
5080 4 4 4
5090 4 4 4
5100 4 4 4
5110 4 4 4
5120 4 4 4
5130 4 4 4
5140 4 4 4
5150 4 4 4
5160 4 4 4
5170 4 4 4
5180 4 4 4
5190 4 4 4
5200 4 4 4
5210 4 4 4
5220 4 4 4
5230 4 4 4
5240 4 4 4
5250 4 4 4
5260 4 4 4
5270 4 4 4
5280 4 4 4
5290 4 4 4
5300 4 4 4
5310 4 5 4
5320 4 4 4
5330 5 4 4
5340 4 4 5
5350 4 4 5
5360 4 5 4
5370 5 4 5
5380 4 4 4
5390 5 4 5
5400 5 5 5
5410 5 5 4
5420 5 5 5
5430 5 5 5
5440 5 5 5
5450 5 5 5
5460 5 5 5
5470 5 5 5
5480 5 5 5
5490 5 5 5
5500 5 5 5
5510 5 4 4
5520 5 5 5
5530 5 5 5
5540 5 5 5
5550 5 5 5
5560 5 5 5
5570 5 5 5
5580 5 5 5
5590 5 5 5
5600 5 5 5
5610 5 5 5
5620 5 5 5
5630 5 5 5
5640 5 5 5
5650 5 5 5
5660 5 5 5
5670 5 5 5
5680 5 5 5
5690 5 5 5
5700 6 5 5
5710 5 5 5
5720 5 5 5
5730 5 5 5
5740 5 5 5
5750 5 5 5
5760 5 5 5
5770 5 5 5
5780 5 5 5
5790 5 5 5
5800 5 5 5
5810 5 5 5
5820 5 5 5
5830 5 5 5
5840 5 5 5
5850 5 5 5
5860 5 5 5
5870 5 5 5
5880 5 5 5
5890 5 5 5
5900 5 5 5
5910 5 5 5
5920 5 5 5
5930 5 5 5
5940 5 5 5
5950 5 5 5
5960 5 5 5
5970 5 5 5
5980 5 5 5
5990 5 5 5
6000 5 5 5
6010 5 5 5
6020 5 5 5
6030 5 5 5
6040 5 5 5
6050 6 5 5
6060 5 5 5
6070 5 5 5
6080 5 5 5
6090 5 5 5
6100 5 5 5
6110 5 5 5
6120 5 5 5
6130 5 5 5
6140 6 5 5
6150 5 5 5
6160 5 5 5
6170 5 5 5
6180 5 5 5
6190 5 5 5
6200 5 5 5
6210 5 5 5
6220 5 5 5
6230 5 5 5
6240 5 5 5
6250 5 5 5
6260 5 5 5
6270 5 5 5
6280 5 5 5
6290 5 5 5
6300 5 5 5
6310 5 5 5
6320 5 5 5
6330 5 5 5
6340 5 5 5
6350 5 5 5
6360 5 5 5
6370 5 5 5
6380 5 5 5
6390 5 5 5
6400 5 5 5
6410 5 5 6
6420 5 5 6
6430 5 5 5
6440 6 6 6
6450 5 6 6
6460 6 5 5
6470 5 5 5
6480 6 5 6
6490 6 6 5
6500 6 5 6
6510 6 5 6
6520 6 6 5
6530 5 6 6
6540 6 6 6
6550 6 6 6
6560 6 6 6
6570 6 5 6
6580 5 5 6
6590 6 6 6
6600 6 6 6
6610 6 6 6
6620 6 6 6
6630 6 6 6
6640 6 6 6
6650 6 5 6
6660 6 6 6
6670 6 6 6
6680 6 6 6
6690 6 6 6
6700 6 6 6
6710 6 6 6
6720 6 6 6
6730 6 5 6
6740 6 6 6
6750 6 6 6
6760 6 6 6
6770 6 6 6
6780 6 6 6
6790 6 6 6
6800 6 6 6
6810 6 6 6
6820 6 6 6
6830 6 6 6
6840 6 6 6
6850 6 6 6
6860 6 6 6
6870 6 6 6
6880 6 5 6
6890 5 5 6
6900 6 6 6
6910 6 6 6
6920 6 6 6
6930 6 6 6
6940 6 6 6
6950 6 6 6
6960 6 6 5
6970 6 6 6
6980 6 6 6
6990 6 6 6
7000 6 6 6
7010 6 6 6
7020 6 6 6
7030 6 6 6
7040 6 5 5
7050 6 6 6
7060 6 6 6
7070 6 6 6
7080 6 6 6
7090 6 6 6
7100 6 6 6
7110 6 6 6
7120 6 5 6
7130 6 6 6
7140 6 6 6
7150 6 5 6
7160 6 6 6
7170 6 6 6
7180 6 6 6
7190 6 6 6
7200 6 6 6
7210 6 6 6
7220 6 6 6
7230 6 6 6
7240 6 6 6
7250 6 6 6
7260 6 6 6
7270 6 6 6
7280 6 6 6
7290 6 6 6
7300 6 6 6
7310 6 6 6
7320 6 6 6
7330 6 6 6
7340 6 6 6
7350 6 6 6
7360 6 6 6
7370 6 6 6
7380 6 6 6
7390 6 6 6
7400 6 6 6
7410 6 6 6
7420 6 6 6
7430 6 6 6
7440 6 6 6
7450 6 6 6
7460 6 6 6
7470 6 6 6
7480 6 6 6
7490 6 6 6
7500 6 6 6
7510 6 6 6
7520 6 6 7
7530 6 6 6
7540 6 6 6
7550 6 6 6
7560 6 6 6
7570 6 6 6
7580 6 6 6
7590 6 6 6
7600 6 6 6
7610 6 6 6
7620 6 7 6
7630 6 6 6
7640 6 6 6
7650 6 6 6
7660 6 6 6
7670 6 6 6
7680 6 6 6
7690 7 7 6
7700 6 7 6
7710 7 6 6
7720 7 6 7
7730 7 6 7
7740 7 6 7
7750 7 7 7
7760 7 7 6
7770 7 7 7
7780 7 6 7
7790 7 7 7
7800 7 7 7
7810 7 7 7
7820 7 7 7
7830 7 6 6
7840 7 7 7
7850 7 7 7
7860 7 7 7
7870 7 7 7
7880 7 7 7
7890 7 7 7
7900 7 6 7
7910 7 7 7
7920 7 7 7
7930 7 7 7
7940 7 7 7
7950 7 7 7
7960 7 7 7
7970 6 6 7
7980 7 7 7
7990 7 7 7
8000 7 7 7
8010 6 6 7
8020 7 7 8
8030 7 7 6
8040 6 7 7
8050 7 7 7
8060 7 7 7
8070 7 7 7
8080 7 7 7
8090 7 7 7
8100 7 6 6
8110 7 7 7
8120 7 7 7
8130 7 7 7
8140 7 7 7
8150 7 7 7
8160 7 7 7
8170 6 6 7
8180 7 7 7
8190 7 7 7
8200 7 7 7
8210 7 7 7
8220 7 7 7
8230 7 7 6
8240 6 7 7
8250 7 7 7
8260 7 7 7
8270 7 7 7
8280 7 7 7
8290 7 7 7
8300 7 7 7
8310 7 7 7
8320 7 7 7
8330 7 7 7
8340 7 7 7
8350 7 7 7
8360 7 7 7
8370 7 7 7
8380 7 7 7
8390 7 7 7
8400 7 7 7
8410 7 7 7
8420 7 7 7
8430 6 7 7
8440 7 7 7
8450 7 7 7
8460 7 7 7
8470 7 7 7
8480 7 7 7
8490 7 6 7
8500 7 7 7
8510 7 7 7
8520 7 7 7
8530 7 7 7
8540 7 7 7
8550 7 7 7
8560 7 7 7
8570 7 7 7
8580 7 7 7
8590 7 7 7
8600 7 7 7
8610 7 7 9
8620 7 7 7
8630 7 7 7
8640 7 7 7
8650 7 7 7
8660 7 7 7
8670 7 7 7
8680 7 7 7
8690 7 7 7
8700 7 8 8
8710 7 7 7
8720 7 7 7
8730 7 7 7
8740 7 7 7
8750 7 7 7
8760 7 8 7
8770 7 7 7
8780 7 7 7
8790 7 7 7
8800 7 8 7
8810 7 7 7
8820 7 7 7
8830 7 7 7
8840 7 8 7
8850 7 7 7
8860 8 7 7
8870 7 7 7
8880 7 7 7
8890 7 7 7
8900 7 7 7
8910 7 7 7
8920 8 7 7
8930 7 7 7
8940 7 7 7
8950 8 7 7
8960 7 7 8
8970 8 7 7
8980 8 7 7
8990 7 7 7
9000 8 7 8
9010 8 8 7
9020 8 7 8
9030 8 8 8
9040 8 7 7
9050 7 7 7
9060 7 7 7
9070 7 8 8
9080 8 8 8
9090 8 8 8
9100 8 8 8
9110 8 8 8
9120 8 8 8
9130 8 8 8
9140 8 8 8
9150 8 8 8
9160 8 8 8
9170 8 8 8
9180 8 8 8
9190 8 8 9
9200 8 8 8
9210 8 8 8
9220 8 8 8
9230 8 8 8
9240 8 8 8
9250 8 8 8
9260 8 8 8
9270 8 8 8
9280 8 8 8
9290 8 8 8
9300 8 8 8
9310 8 8 8
9320 8 8 8
9330 8 8 8
9340 8 8 8
9350 8 8 8
9360 8 8 8
9370 8 8 8
9380 8 8 8
9390 8 8 8
9400 8 8 8
9410 8 8 8
9420 8 8 8
9430 8 8 8
9440 8 8 8
9450 8 8 8
9460 8 8 8
9470 8 8 8
9480 8 8 8
9490 8 8 8
9500 8 8 8
9510 8 8 8
9520 8 8 8
9530 8 8 8
9540 8 8 8
9550 8 8 8
9560 8 8 8
9570 8 8 8
9580 8 8 8
9590 8 8 8
9600 8 8 8
9610 8 8 8
9620 8 8 8
9630 8 8 8
9640 8 8 8
9650 8 8 8
9660 8 8 8
9670 8 8 8
9680 8 8 8
9690 8 8 8
9700 8 8 8
9710 8 8 8
9720 8 8 8
9730 8 8 8
9740 8 8 8
9750 8 8 8
9760 8 8 8
9770 8 8 8
9780 8 8 8
9790 8 8 8
9800 8 8 8
9810 8 8 8
9820 8 8 8
9830 8 8 8
9840 8 8 8
9850 8 8 8
9860 8 8 8
9870 8 8 8
9880 8 8 8
9890 8 8 8
9900 8 8 8
9910 8 8 8
9920 8 8 8
9930 8 8 8
9940 8 8 9
9950 8 8 8
9960 8 8 8
9970 8 8 8
9980 8 8 8
9990 8 8 8
10000 8 8 8
10010 8 8 8
10020 8 8 8
10030 8 8 8
10040 9 8 8
10050 8 8 9
10060 9 8 9
10070 8 8 9
10080 8 8 9
10090 8 8 9
10100 8 9 8
10110 9 8 9
10120 8 9 8
10130 9 9 8
10140 9 8 9
10150 9 9 9
10160 9 9 9
10170 9 9 9
10180 9 9 9
10190 9 8 9
10200 9 9 9
10210 9 9 9
10220 9 9 9
10230 9 9 9
10240 9 9 9
10250 9 9 9
10260 9 9 9
10270 9 9 9
10280 9 9 9
10290 9 9 9
10300 9 9 9
10310 9 9 9
10320 9 9 9
10330 9 9 9
10340 9 9 9
10350 9 9 9
10360 9 9 9
10370 9 9 9
10380 9 9 9
10390 9 9 9
10400 9 9 9
10410 9 9 9
10420 9 9 8
10430 9 9 9
10440 9 9 9
10450 9 9 9
10460 9 9 9
10470 9 9 9
10480 9 9 9
10490 9 9 9
10500 9 9 9
10510 9 9 9
10520 9 9 9
10530 9 9 9
10540 9 9 9
10550 9 9 9
10560 9 9 9
10570 9 9 9
10580 9 9 9
10590 9 9 9
10600 9 9 9
10610 9 9 9
10620 9 9 9
10630 9 9 9
10640 9 9 9
10650 9 9 9
10660 9 9 9
10670 9 9 9
10680 9 9 9
10690 9 9 9
10700 9 9 9
10710 9 9 9
10720 9 9 9
10730 9 9 9
10740 9 9 9
10750 9 9 9
10760 9 9 9
10770 9 9 9
10780 9 8 9
10790 9 9 9
10800 9 9 9
10810 9 9 9
10820 9 9 9
10830 9 9 9
10840 9 9 9
10850 9 9 9
10860 9 9 9
10870 9 9 9
10880 9 9 9
10890 9 9 9
10900 9 9 9
10910 9 9 9
10920 9 9 9
10930 9 9 9
10940 9 9 11
10950 9 10 9
10960 9 9 9
10970 9 9 9
10980 9 9 9
10990 9 9 9
11000 9 9 9
11010 9 9 9
11020 9 9 9
11030 9 9 9
11040 9 9 9
11050 9 9 10
11060 9 9 9
11070 9 9 9
11080 9 9 9
11090 9 9 9
11100 9 9 9
11110 9 9 9
11120 9 9 9
11130 9 9 9
11140 9 9 9
11150 9 9 9
11160 9 9 9
11170 9 10 9
11180 9 9 9
11190 9 9 9
11200 9 9 9
11210 9 9 9
11220 9 13 9
11230 9 9 9
11240 9 9 9
11250 10 9 9
11260 9 9 10
11270 10 10 10
11280 10 9 10
11290 9 10 9
11300 10 10 10
11310 10 10 10
11320 9 9 10
11330 10 9 9
11340 10 9 10
11350 10 9 10
11360 13 9 10
11370 10 9 10
11380 10 9 10
11390 10 10 10
11400 10 10 10
11410 10 10 9
11420 9 9 9
11430 9 9 9
11440 9 9 10
11450 10 9 10
11460 10 9 10
11470 10 10 9
11480 9 9 10
11490 9 9 9
11500 9 9 10
11510 10 9 9
11520 9 9 9
11530 10 10 10
11540 10 10 10
11550 10 10 9
11560 10 9 10
11570 10 10 10
11580 10 10 10
11590 10 10 10
